,operatorId,organization,country
212,NEO,NEO Natural Energy Organisation GmbH,AT
213,NLE,NEXT LEVEL ENERGY GmbH,AT
214,P30,Johann Pfeifer,AT
215,PSS,,AT
216,SAE,Elektrounternehmen Sänze,AT
217,SAG,Salzburg AG,AT
218,SMA,SMATRICS GmbH und Co KG,AT
219,SON,SalzachSonne GmbH,AT
220,STM,Weingut Tschermonegg,AT
221,STQ,Stromquelle Energietechnik GmbH,AT
222,STW,Stadtwerke Mürzzuschlag GmbH,AT
223,SWB,Stadtwerke Bruck an der Mur GmbH,AT
224,SWS,Stadtwerke Schwaz GmbH,AT
225,SZG,,AT
226,TLN,,AT
227,TSZ,PAHE Ladeblitz GmbH,AT
228,TWG,,AT
229,VIE,Wien Energie GmbH,AT
230,VKW,Vorarlberger Kraftwerke AG,AT
231,VNA,Wien Energie GmbH (VNA),AT
232,WIR,A&V Immoholding GmbH,AT
233,WSG,Wels Strom GmbH,AT
234,XXX,AAE Naturstrom Vertrieb GmbH,AT
